tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,winner_rank,winner_points,loser_rank,loser_points
Brisbane,Hard,A,2018-01-01,105992,Ryan Harrison,USA,104919,Leonardo Mayer,ARG,62,810,56,895
Brisbane,Hard,A,2018-01-01,111577,Jared Donaldson,USA,111442,Jordan Thompson,AUS,111,520,72,715
Brisbane,Hard,A,2018-01-01,104797,Denis Istomin,UZB,106000,Damir Dzumhur,BIH,93,622,47,985
Brisbane,Hard,A,2018-01-01,200282,Alex De Minaur,AUS,105449,Steve Johnson,USA,31,1298,33,1190
Brisbane,Hard,A,2018-01-01,111581,Michael Mmoh,USA,105643,Federico Delbonis,ARG,103,563,80,678
Brisbane,Hard,A,2018-01-01,104999,Mischa Zverev,GER,105441,John Patrick Smith,AUS,69,750,199,264
Brisbane,Hard,A,2018-01-01,105238,Alexandr Dolgopolov,UKR,106043,Diego Schwartzman,ARG,294,165,17,1880
Brisbane,Hard,A,2018-01-01,104547,Horacio Zeballos,ARG,124014,Ernesto Escobedo,USA,179,300,194,272
Brisbane,Hard,A,2018-01-01,105051,Matthew Ebden,AUS,126207,Frances Tiafoe,USA,46,1001,39,1080
Brisbane,Hard,A,2018-01-01,111202,Hyeon Chung,KOR,104180,Gilles Muller,LUX,25,1585,138,413
Brisbane,Hard,A,2018-01-01,106378,Kyle Edmund,GBR,133430,Denis Shapovalov,CAN,14,2150,27,1440
Brisbane,Hard,A,2018-01-01,105357,John Millman,AUS,105166,Peter Polansky,CAN,38,1083,121,482
Brisbane,Hard,A,2018-01-01,105992,Ryan Harrison,USA,105870,Yannick Hanfmann,GER,62,810,157,354
Brisbane,Hard,A,2018-01-01,104797,Denis Istomin,UZB,111577,Jared Donaldson,USA,93,622,111,520
Brisbane,Hard,A,2018-01-01,200282,Alex De Minaur,AUS,105683,Milos Raonic,CAN,31,1298,18,1855
Brisbane,Hard,A,2018-01-01,111581,Michael Mmoh,USA,104999,Mischa Zverev,GER,103,563,69,750
